Month,Windstorms,Month
1,9,Jan
2,9,Feb
3,10,Mar
4,8,Apr
5,5,May
6,8,Jun
7,5,Jul
8,6,Aug
9,5,Sep
10,5,Oct
11,5,Nov
12,7,Dec
13,5,Jan
14,2,Feb
15,7,Mar
16,4,Apr
17,6,May
18,4,Jun
19,2,Jul
20,1,Aug
21,7,Sep
22,5,Oct
23,4,Nov
24,6,Dec
25,6,Jan
26,3,Feb
27,7,Mar
28,4,Apr
29,5,May
30,6,Jun
31,3,Jul
32,1,Aug
33,8,Sep
34,5,Oct
35,6,Nov
36,6,Dec
37,6,Jan
38,4,Feb
39,3,Mar
40,7,Apr
41,4,May
42,2,Jun
43,1,Jul
44,2,Aug
45,2,Sep
46,3,Oct
47,6,Nov
48,4,Dec
49,5,Jan
50,5,Feb
51,7,Mar
52,5,Apr
53,6,May
54,2,Jun
55,4,Jul
56,3,Aug
57,5,Sep
58,4,Oct
59,8,Nov
60,5,Dec
61,4,Jan
62,7,Feb
63,5,Mar
64,8,Apr
65,4,May
66,2,Jun
67,4,Jul
68,3,Aug
69,3,Sep
70,4,Oct
71,5,Nov
72,6,Dec
73,10,Jan
74,6,Feb
75,7,Mar
76,9,Apr
77,9,May
78,3,Jun
79,3,Jul
80,5,Aug
81,4,Sep
82,1,Oct
83,6,Nov
84,7,Dec
85,6,Jan
86,6,Feb
87,5,Mar
88,5,Apr
89,5,May
90,8,Jun
91,3,Jul
92,1,Aug
93,5,Sep
94,3,Oct
95,4,Nov
96,6,Dec
97,3,Jan
98,2,Feb
99,5,Mar
100,7,Apr
101,8,May
102,2,Jun
103,3,Jul
104,4,Aug
105,6,Sep
106,5,Oct
107,6,Nov
108,7,Dec
109,6,Jan
110,9,Feb
111,8,Mar
112,9,Apr
113,2,May
114,7,Jun
115,3,Jul
116,6,Aug
117,1,Sep
118,6,Oct
119,4,Nov
120,3,Dec
121,8,Jan
122,4,Feb
123,3,Mar
124,4,Apr
125,4,May
126,11,Jun
127,3,Jul
128,6,Aug
129,5,Sep
130,3,Oct
131,8,Nov
132,10,Dec
133,4,Jan
134,6,Feb
135,6,Mar
136,7,Apr
137,5,May
138,5,Jun
139,1,Jul
140,1,Aug
141,3,Sep
142,8,Oct
143,6,Nov
144,10,Dec
145,7,Jan
146,6,Feb
147,10,Mar
148,4,Apr
149,1,May
150,7,Jun
151,0,Jul
152,2,Aug
153,4,Sep
154,4,Oct
155,3,Nov
156,4,Dec
157,5,Jan
158,4,Feb
159,5,Mar
160,5,Apr
161,2,May
162,4,Jun
163,3,Jul
164,2,Aug
165,1,Sep
166,2,Oct
167,8,Nov
168,4,Dec
169,7,Jan
170,8,Feb
171,6,Mar
172,4,Apr
173,3,May
174,4,Jun
175,4,Jul
176,4,Aug
177,2,Sep
178,7,Oct
179,5,Nov
180,7,Dec
181,4,Jan
182,8,Feb
183,5,Mar
184,2,Apr
185,3,May
186,2,Jun
187,4,Jul
188,3,Aug
189,1,Sep
190,7,Oct
191,6,Nov
192,8,Dec
193,5,Jan
194,5,Feb
195,5,Mar
196,6,Apr
197,2,May
198,5,Jun
199,1,Jul
200,3,Aug
201,2,Sep
202,4,Oct
203,5,Nov
204,6,Dec
205,7,Jan
206,6,Feb
207,4,Mar
208,7,Apr
209,2,May
210,3,Jun
211,4,Jul
212,3,Aug
213,5,Sep
214,4,Oct
215,8,Nov
216,8,Dec
217,4,Jan
218,5,Feb
219,6,Mar
220,3,Apr
221,6,May
222,3,Jun
223,3,Jul
224,1,Aug
225,5,Sep
226,3,Oct
227,6,Nov
228,5,Dec
229,9,Jan
230,3,Feb
231,4,Mar
232,0,Apr
233,9,May
234,7,Jun
235,0,Jul
236,3,Aug
237,4,Sep
238,4,Oct
239,5,Nov
240,10,Dec
241,5,Jan
242,3,Feb
243,5,Mar
244,6,Apr
245,5,May
246,3,Jun
247,2,Jul
248,2,Aug
249,5,Sep
250,4,Oct
251,6,Nov
252,9,Dec
